time,signal
1.980792317,-0.0034128
1.984793918,-0.0021551
1.988795518,0.002973
1.992797119,0.0045181
1.996798719,0.0020587
2.00080032,-0.00086481
2.004801921,-0.0022458
2.008803521,-0.002402
2.012805122,-0.0011927
2.016806723,0.0016811
2.020808323,0.0032831
2.024809924,0.00082445
2.028811525,-0.0015941
2.032813125,0.0014019
2.036814726,-0.0014296
2.040816327,-0.015322
2.044817927,-0.01296
2.048819528,0.013611
2.052821128,0.029175
2.056822729,0.010053
2.06082433,-0.01548
2.06482593,-0.0060764
2.068827531,0.013043
2.072829132,-0.0077247
2.076830732,-0.046383
2.080832333,-0.041032
2.084833934,0.02158
2.088835534,0.081562
2.092837135,0.080461
2.096838735,0.026827
2.100840336,-0.057589
2.104841937,-0.15164
2.108843537,-0.14872
2.112845138,0.028342
2.116846739,0.20914
2.120848339,0.18546
2.12484994,0.032123
2.128851541,-0.089139
2.132853141,-0.16432
2.136854742,-0.17804
2.140856343,-0.063981
2.144857943,0.12385
2.148859544,0.22688
2.152861144,0.16549
2.156862745,-0.0085755
2.160864346,-0.16845
2.164865946,-0.20055
2.168867547,-0.10963
2.172869148,0.025181
2.176870748,0.1419
2.180872349,0.17999
2.18487395,0.11521
2.18887555,-0.019671
2.192877151,-0.15399
2.196878752,-0.17193
2.200880352,-0.060543
2.204881953,0.047458
2.208883553,0.090018
2.212885154,0.092767
2.216886755,0.072758
2.220888355,0.030309
2.224889956,-0.068268
2.228891557,-0.15409
2.232893157,-0.087995
2.236894758,0.050092
2.240896359,0.094424
2.244897959,0.051886
2.24889956,0.012208
2.25290116,0.025433
2.256902761,0.01983
2.260904362,-0.065533
2.264905962,-0.10109
2.268907563,-0.030095
2.272909164,0.027475
2.276910764,0.033961
2.280912365,0.029073
2.284913966,0.049531
2.288915566,0.079122
2.292917167,0.0079347
2.296918768,-0.11809
2.300920368,-0.1148
2.304921969,-0.011819
2.308923569,0.051702
2.31292517,0.052383
2.316926771,0.036006
2.320928371,0.062448
2.324929972,0.07038
2.328931573,-0.047682
2.332933173,-0.15915
2.336934774,-0.10806
2.340936375,0.012532
2.344937975,0.079172
2.348939576,0.088007
2.352941176,0.091071
2.356942777,0.067755
2.360944378,-0.058581
2.364945978,-0.17559
2.368947579,-0.12348
2.37294918,0.01088
2.37695078,0.092931
2.380952381,0.12214
2.384953982,0.11755
2.388955582,0.040582
2.392957183,-0.10952
2.396958784,-0.18489
2.400960384,-0.095385
2.404961985,0.026265
2.408963585,0.081447
2.412965186,0.11321
2.416966787,0.12217
2.420968387,0.040342
2.424969988,-0.10891
2.428971589,-0.1679
2.432973189,-0.082917
2.43697479,0.014499
2.440976391,0.062971
2.444977991,0.1058
2.448979592,0.12511
2.452981192,0.04846
2.456982793,-0.10808
2.460984394,-0.17086
2.464985994,-0.067186
2.468987595,0.031919
2.472989196,0.050243
2.476990796,0.07743
2.480992397,0.10732
2.484993998,0.057019
2.488995598,-0.071953
2.492997199,-0.1475
2.4969988,-0.085695
2.5010004,0.002656
2.505002001,0.043241
2.509003601,0.080055
2.513005202,0.090656
2.517006803,0.042971
2.521008403,-0.026931
2.525010004,-0.076807
2.529011605,-0.082244
2.533013205,-0.052946
2.537014806,0.0021364
2.541016407,0.064257
2.545018007,0.077665
2.549019608,0.060253
2.553021208,0.032244
2.557022809,-0.05504
2.56102441,-0.12028
2.56502601,-0.068595
2.569027611,0.016764
2.573029212,0.061647
2.577030812,0.059877
2.581032413,0.04283
2.585034014,0.047892
2.589035614,-0.0044625
2.593037215,-0.11291
2.597038816,-0.11135
2.601040416,-0.0015811
2.605042017,0.070158
2.609043617,0.060258
2.613045218,0.02979
2.617046819,0.046977
2.621048419,0.039353
2.62505002,-0.073716
2.629051621,-0.13845
2.633053221,-0.049791
2.637054822,0.054551
2.641056423,0.069998
2.645058023,0.028359
2.649059624,0.021081
2.653061224,0.0594
2.657062825,0.0078422
2.661064426,-0.11127
2.665066026,-0.1028
2.669067627,0.0091873
2.673069228,0.063928
2.677070828,0.040509
2.681072429,0.01546
2.68507403,0.04489
2.68907563,0.050472
2.693077231,-0.054967
2.697078832,-0.1337
2.701080432,-0.061369
2.705082033,0.048725
2.709083633,0.074808
2.713085234,0.029885
2.717086835,0.0092
2.721088435,0.054788
2.725090036,0.036642
2.729091637,-0.087729
2.733093237,-0.12395
2.737094838,-0.015618
2.741096439,0.074816
2.745098039,0.062021
2.74909964,-0.01487
2.75310124,-0.043978
2.757102841,0.035129
2.761104442,0.073851
2.765106042,-0.027294
2.769107643,-0.10142
2.773109244,-0.034994
2.777110844,0.049059
2.781112445,0.031722
2.785114046,-0.022793
2.789115646,0.032889
2.793117247,0.13177
2.797118848,0.030103
2.801120448,-0.18431
2.805122049,-0.16815
2.809123649,0.045097
2.81312525,0.13497
2.817126851,0.037189
2.821128451,-0.02866
2.825130052,0.057797
2.829131653,0.089176
2.833133253,-0.085556
2.837134854,-0.19176
2.841136455,-0.040153
2.845138055,0.11729
2.849139656,0.087448
2.853141257,-0.01271
2.857142857,-0.014937
2.861144458,0.064566
2.865146058,0.03184
2.869147659,-0.11144
2.87314926,-0.11879
2.87715086,0.019305
2.881152461,0.092524
2.885154062,0.047785
2.889155662,-0.0096569
2.893157263,0.015481
2.897158864,0.048417
2.901160464,-0.043955
2.905162065,-0.13081
2.909163665,-0.044057
2.913165266,0.079557
